Date,Open,High,Low,Close,Volume,MarketCap
1981-01-02,1.829865503357487,1.8464505672454832,1.818809158850225,1.846450567245484,365810,410934294.8205472
1981-01-05,1.8464505672454832,1.8519789218748155,1.829865503357487,1.846450567245484,889879,410934294.8205472
1981-01-06,1.8464505672454832,1.8575070941284464,1.8353938579868192,1.846450567245484,1207261,410934294.8205472
1981-01-07,1.8188079337371352,1.8188079337371352,1.774581491243939,1.7911665439605713,1512535,398630634.2046452
1981-01-08,1.7911680098132547,1.80775252897556,1.7579978772342797,1.7690547704696655,799075,393709578.5273886
1981-01-09,1.7690543233851457,1.7690543233851457,1.6916580964304209,1.746941089630127,818966,388788098.362751
1981-01-12,1.7469413671072678,1.7745827769097304,1.7469413671072678,1.752469539642334,465262,390018475.0365257
1981-01-13,1.7524695396423342,1.7579977121774004,1.741413012196491,1.752469539642334,511962,390018475.0365257
1981-01-14,1.763526346296882,1.8132811784744265,1.763526346296882,1.8132811784744265,2341878,403552326.6129733
1981-01-15,1.824337160579584,1.879620154578394,1.824337160579584,1.874091982841492,457479,417085992.4761916
1981-01-16,1.8740916216474184,1.9127893634745616,1.8630347331775576,1.890676498413086,369270,420776936.7842865
1981-01-19,1.890676333559367,1.918317914009094,1.874091458239784,1.9183179140090945,224848,426928634.439931
1981-01-20,1.9183180812729648,1.9183180812729648,1.890676498413086,1.890676498413086,241279,420776936.7842865
1981-01-21,1.8906767540149088,1.9017332792282104,1.874091875007121,1.9017332792282104,621791,423237663.6013746
1981-01-22,1.901732856313878,1.923846084198533,1.901732856313878,1.9183179140090945,238685,426928634.439931
1981-01-23,1.918318620820144,1.918318620820144,1.9017335570141043,1.9072617292404173,69184,424468040.2751493
1981-01-26,1.907261689800801,1.990186095237732,1.907261689800801,1.990186095237732,264629,442923159.7725439
1981-01-27,1.9901852402258124,1.9957134099628293,1.962543844413872,1.97912871837616,1075811,440462300.3031493
1981-01-28,1.9791292618910656,1.984657615521916,1.9404311512264527,1.9459596872329712,317382,433080411.68695927
1981-01-29,1.9459599165675767,1.957016260380949,1.934903025627136,1.934903025627136,215335,430619711.4003324
1981-01-30,1.9349027975956032,1.9459596872329712,1.92384645508524,1.9459596872329712,157394,433080411.68695927
1981-02-02,1.9404305576024456,1.9404305576024456,1.8851475853333324,1.8962044715881348,669355,422007207.336216
1981-02-03,1.8962053056380728,1.912789821624756,1.89067695126682,1.912789821624756,345920,425698337.3575402
1981-02-04,1.912788710128033,1.940430283546448,1.912788710128033,1.940430283546448,425482,431849822.7694941
1981-02-05,1.940430283546448,1.9625435058060623,1.9349019323876475,1.940430283546448,460938,431849822.7694941
1981-02-06,1.940431379909512,1.940431379909512,1.9238466818137645,1.934903025627136,265494,430619711.4003324
1981-02-09,1.9349019323876475,1.9514869858640485,1.9349019323876475,1.940430283546448,734215,431849822.7694941
1981-02-10,1.940430283546448,1.957015154647262,1.940430283546448,1.940430283546448,205822,431849822.7694941
1981-02-11,1.9404312998513773,1.9404312998513773,1.9238466024398804,1.9238466024398804,102046,428159064.17462826
